id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,...,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,
1,6414100192,276732.6872,538000,3,2.25,2570,7242,2,0,0,...,7,2170,400,1951,1991,98125,47.721,-122.319,1690,7639
2,5631500400,9711.968443,180000,2,1,770,10000,1,0,0,...,6,770,0,1933,0,98028,47.7379,-122.233,2720,8062
3,2487200875,95845.33754,604000,4,3,1960,5000,1,0,0,...,7,1050,910,1965,0,98136,47.5208,-122.393,1360,5000
4,1954400510,93665.32454,510000,3,2,1680,8080,1,0,0,...,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503
5,7237550310,450092.6475,1225000,4,4.5,5420,101930,1,0,0,...,11,3890,1530,2001,0,98053,47.6561,-122.005,4760,101930
6,1321400060,24887.78926,257500,3,2.25,1715,6819,2,0,0,...,7,1715,0,1995,0,98003,47.3097,-122.327,2238,6819
7,2008000270,37675.87162,291850,3,1.5,1060,9711,1,0,0,...,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711
8,2414600126,128858.0196,229500,3,1,1780,7470,1,0,0,...,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113
9,3793500160,10949.86279,323000,3,2.5,1890,6560,2,0,0,...,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570
10,1736800520,249708.2666,662500,3,2.5,3560,9796,1,0,0,...,8,1860,1700,1965,0,98007,47.6007,-122.145,2210,8925
11,9212900260,1929.665123,468000,2,1,1160,6000,1,0,0,...,7,860,300,1942,0,98115,47.69,-122.292,1330,6000
12,114101516,107839.8565,310000,3,1,1430,19901,1.5,0,0,...,7,1430,0,1927,0,98028,47.7558,-122.229,1780,12697
13,6054650070,69033.07498,400000,3,1.75,1370,9680,1,0,0,...,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208
14,1175000570,22816.53897,530000,5,2,1810,4850,1.5,0,0,...,7,1810,0,1900,0,98107,47.67,-122.394,1360,4850
15,9297300055,64656.88516,650000,4,3,2950,5000,2,0,3,...,9,1980,970,1979,0,98126,47.5714,-122.375,2140,4000
16,1875500060,38641.08859,395000,3,2,1890,14040,2,0,0,...,7,1890,0,1994,0,98019,47.7277,-121.962,1890,14018
17,6865200140,147893.3068,485000,4,1,1600,4300,1.5,0,0,...,7,1600,0,1916,0,98103,47.6648,-122.343,1610,4300
18,16000397,60470.71755,189000,2,1,1200,9850,1,0,0,...,7,1200,0,1921,0,98002,47.3089,-122.21,1060,5095
19,7983200060,61755.80243,230000,3,1,1250,9774,1,0,0,...,7,1250,0,1969,0,98003,47.3343,-122.306,1280,8850
20,6300500875,126258.2387,385000,4,1.75,1620,4980,1,0,0,...,7,860,760,1947,0,98133,47.7025,-122.341,1400,4980
21,2524049179,16719.9281,2000000,3,2.75,3050,44867,1,0,4,...,9,2330,720,1968,0,98040,47.5316,-122.233,4110,20336
22,7137970340,182130.8588,285000,5,2.5,2270,6300,2,0,0,...,8,2270,0,1995,0,98092,47.3266,-122.169,2240,7005
23,8091400200,32796.89465,252700,2,1.5,1070,9643,1,0,0,...,7,1070,0,1985,0,98030,47.3533,-122.166,1220,8386
24,3814700200,90447.05009,329000,3,2.25,2450,6500,2,0,0,...,8,2450,0,1985,0,98030,47.3739,-122.172,2200,6865
25,1202000200,150864.9751,233000,3,2,1710,4697,1.5,0,0,...,6,1710,0,1941,0,98002,47.3048,-122.218,1030,4705
26,1794500383,181768.4704,937000,3,1.75,2450,2691,2,0,0,...,8,1750,700,1915,0,98119,47.6386,-122.36,1760,3573
27,3303700376,145407.6412,667000,3,1,1400,1581,1.5,0,0,...,8,1400,0,1909,0,98112,47.6221,-122.314,1860,3861
28,5101402488,147935.649,438000,3,1.75,1520,6380,1,0,0,...,7,790,730,1948,0,98115,47.695,-122.304,1520,6235
29,1873100390,3864.954995,719000,4,2.5,2570,7173,2,0,0,...,8,2570,0,2005,0,98052,47.7073,-122.11,2630,6026
30,8562750320,199980.9399,580500,3,2.5,2320,3980,2,0,0,...,8,2320,0,2003,0,98027,47.5391,-122.07,2580,3980
31,2426039314,29546.92044,280000,2,1.5,1190,1265,3,0,0,...,7,1190,0,2005,0,98133,47.7274,-122.357,1390,1756
32,461000390,109411.9203,687500,4,1.75,2330,5000,1.5,0,0,...,7,1510,820,1929,0,98117,47.6823,-122.368,1460,5000
33,7589200193,123048.5002,535000,3,1,1090,3000,1.5,0,0,...,8,1090,0,1929,0,98117,47.6889,-122.375,1570,5080
34,7955080270,213382.9923,322500,4,2.75,2060,6659,1,0,0,...,7,1280,780,1981,0,98058,47.4276,-122.157,2020,8720
35,9547205180,79267.95478,696000,3,2.5,2300,3060,1.5,0,0,...,8,1510,790,1930,2002,98115,47.6827,-122.31,1590,3264
36,9435300030,138045.5705,550000,4,1,1660,34848,1,0,0,...,5,930,730,1933,0,98052,47.6621,-122.132,2160,11467
37,2768000400,123763.4655,640000,4,2,2360,6000,2,0,0,...,8,2360,0,1904,0,98107,47.6702,-122.362,1730,4700
38,7895500070,70767.9234,240000,4,1,1220,8075,1,0,0,...,7,890,330,1969,0,98001,47.3341,-122.282,1290,7800
39,2078500320,118284.1433,605000,4,2.5,2620,7553,2,0,0,...,8,2620,0,1996,0,98056,47.5301,-122.18,2620,11884
40,5547700270,46736.84989,625000,4,2.5,2570,5520,2,0,0,...,9,2570,0,2000,0,98074,47.6145,-122.027,2470,5669
41,7766200013,121581.1455,775000,4,2.25,4220,24186,1,0,0,...,8,2600,1620,1984,0,98166,47.445,-122.347,2410,30617
42,7203220400,301293.5335,861990,5,2.75,3595,5639,2,0,0,...,9,3595,0,2014,0,98053,47.6848,-122.016,3625,5639
43,9270200160,181940.0509,685000,3,1,1570,2280,2,0,0,...,7,1570,0,1922,0,98119,47.6413,-122.364,1580,2640
44,1432701230,67139.32079,309000,3,1,1280,9656,1,0,0,...,6,920,360,1959,0,98058,47.4485,-122.175,1340,8808
45,8035350320,290489.749,488000,3,2.5,3160,13603,2,0,0,...,8,3160,0,2003,0,98019,47.7443,-121.977,3050,9232
46,8945200830,104894.0657,210490,3,1,990,8528,1,0,0,...,6,990,0,1966,0,98023,47.3066,-122.371,1228,8840
47,4178300310,203286.7771,785000,4,2.5,2290,13416,2,0,0,...,9,2290,0,1981,0,98007,47.6194,-122.151,2680,13685
